伍佰,#genre#
爱和痴迷,http://em.21dtv.com/songs/60090589.mkv
爱你越来越多,http://em.21dtv.com/songs/60008034.mkv
爱你一万年(演唱会),http://em.21dtv.com/songs/60008021.mkv
爱情的尽头,http://em.21dtv.com/songs/60008164.mkv
爱情的尽头(演唱会),http://em.21dtv.com/songs/60008163.mkv
爱情未亡人(演唱会),http://em.21dtv.com/songs/60008414.mkv
爱上别人是快乐的事,http://em.21dtv.com/songs/60008634.mkv
爱是无保留,http://em.21dtv.com/songs/60090590.mkv
爱上一个浪漫的人,http://em.21dtv.com/songs/60090588.mkv
不曾在乎我(演唱会),http://em.21dtv.com/songs/60011022.mkv
被动(演唱会),http://em.21dtv.com/songs/60010290.mkv
不懂得幸福,http://em.21dtv.com/songs/60011051.mkv
边防战士之歌,http://em.21dtv.com/songs/60082622.mkv
白鸽,http://em.21dtv.com/songs/60009661.mkv
不过是爱上妳,http://em.21dtv.com/songs/60011135.mkv
不会在乎我,http://em.21dtv.com/songs/60090580.mkv
北极熊日记,http://em.21dtv.com/songs/60063968.mkv
不满,http://em.21dtv.com/songs/60090581.mkv
背叛,http://em.21dtv.com/songs/60010250.mkv
八千里边防大北疆,http://em.21dtv.com/songs/60063068.mkv
冰雨,http://em.21dtv.com/songs/60010089.mkv
半夜11点钟,http://em.21dtv.com/songs/60009905.mkv
八音波罗,http://em.21dtv.com/songs/60070511.mkv
半夜十一点钟,http://em.21dtv.com/songs/60089121.mkv
不要想太多,http://em.21dtv.com/songs/60090582.mkv
翅膀(演唱会),http://em.21dtv.com/songs/60012829.mkv
冲冲冲,http://em.21dtv.com/songs/60012840.mkv
cherry lover,http://em.21dtv.com/songs/60000913.mkv
春花秋月(演唱会),http://em.21dtv.com/songs/60013276.mkv
初恋,http://em.21dtv.com/songs/60064069.mkv
春夏秋冬的气候,http://em.21dtv.com/songs/60090586.mkv
船长,http://em.21dtv.com/songs/60013163.mkv
纯真年代,http://em.21dtv.com/songs/60013413.mkv
答桉,http://em.21dtv.com/songs/60096809.mkv
单程车票,http://em.21dtv.com/songs/60063109.mkv
断肠诗,http://em.21dtv.com/songs/60015913.mkv
断了,http://em.21dtv.com/songs/60015924.mkv
断了(演唱会),http://em.21dtv.com/songs/60015923.mkv
敌人(演唱会),http://em.21dtv.com/songs/60015083.mkv
钉子花,http://em.21dtv.com/songs/60131156.mkv
风都知道,http://em.21dtv.com/songs/60164436.mkv
纷飞吧,http://em.21dtv.com/songs/60090591.mkv
烽火,http://em.21dtv.com/songs/60017308.mkv
放开你的脑袋(演唱会),http://em.21dtv.com/songs/60071917.mkv
返去故乡,http://em.21dtv.com/songs/60016510.mkv
返去故乡(演唱会),http://em.21dtv.com/songs/60016509.mkv
风台心情,http://em.21dtv.com/songs/60017379.mkv
枫叶,http://em.21dtv.com/songs/60017534.mkv
枫叶(演唱会),http://em.21dtv.com/songs/60017533.mkv
飞在风中的小雨,http://em.21dtv.com/songs/60016903.mkv
歌唱二小放牛郎,http://em.21dtv.com/songs/60128182.mkv
光和热,http://em.21dtv.com/songs/60111687.mkv
钢铁男子(演唱会),http://em.21dtv.com/songs/60018154.mkv
孤星泪(演唱会),http://em.21dtv.com/songs/60018925.mkv
关于女人,http://em.21dtv.com/songs/60090583.mkv
荒诞的欲望,http://em.21dtv.com/songs/60089608.mkv
红蔷薇,http://em.21dtv.com/songs/60020929.mkv
何日再见梦中人,http://em.21dtv.com/songs/60087288.mkv
火山,http://em.21dtv.com/songs/60063110.mkv
黄色月亮(演唱会),http://em.21dtv.com/songs/60021987.mkv
何时再见梦中人,http://em.21dtv.com/songs/60020398.mkv
荒唐的欲望,http://em.21dtv.com/songs/60021866.mkv
活下去,http://em.21dtv.com/songs/60022379.mkv
胡杨姑娘,http://em.21dtv.com/songs/60104287.mkv
好运总来(演唱会),http://em.21dtv.com/songs/60071997.mkv
结,http://em.21dtv.com/songs/60063111.mkv
街角的蔷薇,http://em.21dtv.com/songs/60023583.mkv
寂寞丛林,http://em.21dtv.com/songs/60022830.mkv
寂寞女孩,http://em.21dtv.com/songs/60090584.mkv
军人的妈妈,http://em.21dtv.com/songs/60076214.mkv
就是因为爱,http://em.21dtv.com/songs/60096180.mkv
就是因为爱(HD),http://em.21dtv.com/songs/10012702.mkv
今天你要走,http://em.21dtv.com/songs/60069521.mkv
继续堕落,http://em.21dtv.com/songs/60022773.mkv
继续堕落(演唱会),http://em.21dtv.com/songs/60022772.mkv
禁止,http://em.21dtv.com/songs/60076100.mkv
九重天(演唱会),http://em.21dtv.com/songs/60024371.mkv
康定情歌,http://em.21dtv.com/songs/60070840.mkv
亏欠,http://em.21dtv.com/songs/60096040.mkv
空袭警报(演唱会),http://em.21dtv.com/songs/60025474.mkv
路(演唱会),http://em.21dtv.com/songs/60027916.mkv
last dance,http://em.21dtv.com/songs/60003278.mkv
两个寂寞,http://em.21dtv.com/songs/60027221.mkv
厉害,http://em.21dtv.com/songs/60026908.mkv
listen to me,http://em.21dtv.com/songs/60003425.mkv
离开你我会哭,http://em.21dtv.com/songs/60164434.mkv
泪桥,http://em.21dtv.com/songs/60026546.mkv
浪人情歌,http://em.21dtv.com/songs/60026253.mkv
雷射光,http://em.21dtv.com/songs/60090592.mkv
流星,http://em.21dtv.com/songs/60027726.mkv
楼仔厝(演唱会),http://em.21dtv.com/songs/60027890.mkv
梦的河流,http://em.21dtv.com/songs/60029499.mkv
梦的河流(演唱会),http://em.21dtv.com/songs/60029498.mkv
迷路,http://em.21dtv.com/songs/60083415.mkv
美丽的榆林我的家,http://em.21dtv.com/songs/60151077.mkv
美丽新世界,http://em.21dtv.com/songs/60029283.mkv
美丽新世界(演唱会),http://em.21dtv.com/songs/60029283.mkv
没人爱的女孩,http://em.21dtv.com/songs/60090587.mkv
梦醒时分,http://em.21dtv.com/songs/60083401.mkv
没有头(演唱会),http://em.21dtv.com/songs/60028890.mkv
墓仔埔也敢去(演唱会),http://em.21dtv.com/songs/60030637.mkv
你爱我,http://em.21dtv.com/songs/60031398.mkv
南极之南,http://em.21dtv.com/songs/60064605.mkv
你是我的花朵,http://em.21dtv.com/songs/60032090.mkv
难逃寂寞,http://em.21dtv.com/songs/60083482.mkv
挪威的森林,http://em.21dtv.com/songs/60032811.mkv
挪威的森林(演唱会),http://em.21dtv.com/songs/60032810.mkv
那一刻,http://em.21dtv.com/songs/60030812.mkv
噢同学,http://em.21dtv.com/songs/60143104.mkv
漂泊,http://em.21dtv.com/songs/60033453.mkv
徘徊夜都市(演唱会),http://em.21dtv.com/songs/60033126.mkv
漂浪,http://em.21dtv.com/songs/60033466.mkv
漂浪(演唱会),http://em.21dtv.com/songs/60033465.mkv
拼图,http://em.21dtv.com/songs/60033562.mkv
亲爱的你(演唱会),http://em.21dtv.com/songs/60034512.mkv
亲爱的你喝醉了,http://em.21dtv.com/songs/60034521.mkv
亲爱的你喝醉了(演唱会),http://em.21dtv.com/songs/60034520.mkv
秋风夜雨(演唱会),http://em.21dtv.com/songs/60035677.mkv
牵挂,http://em.21dtv.com/songs/60034202.mkv
牵挂(演唱会),http://em.21dtv.com/songs/60034198.mkv
情人朋友,http://em.21dtv.com/songs/60083665.mkv
如果这都不算爱(演唱会),http://em.21dtv.com/songs/60036981.mkv
日记,http://em.21dtv.com/songs/60036632.mkv
热泪暗班车,http://em.21dtv.com/songs/60131155.mkv
热情交错,http://em.21dtv.com/songs/60036276.mkv
汝是我的心肝,http://em.21dtv.com/songs/60064814.mkv
蛇,http://em.21dtv.com/songs/60038190.mkv
生存游戏,http://em.21dtv.com/songs/60093971.mkv
上帝救救我,http://em.21dtv.com/songs/60038012.mkv
煞到你,http://em.21dtv.com/songs/60037567.mkv
煞到你(演唱会),http://em.21dtv.com/songs/60037566.mkv
随风而去,http://em.21dtv.com/songs/60040922.mkv
闪光魔术,http://em.21dtv.com/songs/60037720.mkv
烧火,http://em.21dtv.com/songs/60038083.mkv
世界第一等,http://em.21dtv.com/songs/60039260.mkv
世界第一等(演唱会),http://em.21dtv.com/songs/60039260.mkv
算了吧(演唱会),http://em.21dtv.com/songs/60040889.mkv
素兰小姐要出嫁(演唱会),http://em.21dtv.com/songs/60040850.mkv
十里盐湾,http://em.21dtv.com/songs/60154489.mkv
双面人,http://em.21dtv.com/songs/60039855.mkv
少女的心(演唱会),http://em.21dtv.com/songs/60038168.mkv
思念亲像一条河,http://em.21dtv.com/songs/60040554.mkv
少年吔安啦,http://em.21dtv.com/songs/60038143.mkv
傻情人(演唱会),http://em.21dtv.com/songs/60037540.mkv
塞上,http://em.21dtv.com/songs/60123016.mkv
时尚狗,http://em.21dtv.com/songs/60039157.mkv
杀手骊歌,http://em.21dtv.com/songs/60037434.mkv
世外不丹,http://em.21dtv.com/songs/60064886.mkv
上瘾了,http://em.21dtv.com/songs/60087286.mkv
上隐了(演唱会),http://em.21dtv.com/songs/60038065.mkv
是一种青春,http://em.21dtv.com/songs/60039525.mkv
树枝孤鸟,http://em.21dtv.com/songs/60039795.mkv
